fsa,probable,vulnerable,is_most_recent,fever_chills_shakes,cough,shortness_of_breath,any_medical_conditions,travel_outside_canada,contact_with_illness,symptoms,conditions,needs
L5N,0.0,0.33613445378151263,0.7478991596638656,0.008403361344537815,0.008403361344537815,0.008403361344537815,1.0,0.0,0.0,,,
L5R,0.027777777777777776,0.1388888888888889,0.8333333333333334,0.027777777777777776,0.0,0.027777777777777776,1.0,0.0,0.0,,,
L5V,0.043478260869565216,0.34782608695652173,0.8695652173913043,0.0,0.043478260869565216,0.0,1.0,0.043478260869565216,0.043478260869565216,,,
L5W,0.0,0.2916666666666667,0.9166666666666666,0.0,0.0,0.0,1.0,0.0,0.0,,,
L6A,0.0,0.18181818181818182,0.8441558441558441,0.0,0.0,0.0,1.0,0.0,0.0,,,
L6B,0.0,0.17647058823529413,0.8235294117647058,0.029411764705882353,0.0,0.0,1.0,0.0,0.0,,,
L6C,0.0,0.10869565217391304,0.782608695652174,0.0,0.021739130434782608,0.021739130434782608,1.0,0.0,0.0,,,
L6E,0.0,0.2916666666666667,0.7916666666666666,0.0,0.0,0.0,1.0,0.0,0.0,,,
L6H,0.01904761904761905,0.2761904761904762,0.8380952380952381,0.01904761904761905,0.01904761904761905,0.01904761904761905,1.0,0.009523809523809525,0.009523809523809525,,,
L6J,0.0,0.40540540540540543,0.8648648648648649,0.0,0.0,0.02702702702702703,1.0,0.0,0.0,,,
L6L,0.0,0.2708333333333333,0.8333333333333334,0.0,0.041666666666666664,0.0,1.0,0.0,0.0,,,
L6M,0.017857142857142856,0.25892857142857145,0.8303571428571429,0.017857142857142856,0.017857142857142856,0.017857142857142856,1.0,0.0,0.0,,,
L6P,0.07142857142857142,0.2857142857142857,0.8571428571428571,0.07142857142857142,0.023809523809523808,0.0,1.0,0.0,0.07142857142857142,,,
L6R,0.025,0.3,0.875,0.1,0.05,0.0,1.0,0.0,0.025,,,
L6S,0.0,0.28888888888888886,0.8666666666666667,0.0,0.022222222222222223,0.022222222222222223,1.0,0.0,0.0,,,
L6T,0.0,0.3333333333333333,0.7333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,,,
L6V,0.0,0.25,0.875,0.0,0.125,0.0625,1.0,0.0,0.0,,,
L6W,0.0,0.38461538461538464,0.8076923076923077,0.038461538461538464,0.0,0.0,1.0,0.0,0.0,,,
L6X,0.0,0.12195121951219512,0.9024390243902439,0.024390243902439025,0.0,0.0,1.0,0.0,0.0,,,
L6Y,0.0,0.19402985074626866,0.7910447761194029,0.0,0.0,0.029850746268656716,1.0,0.0,0.0,,,
L6Z,0.03333333333333333,0.26666666666666666,0.6333333333333333,0.03333333333333333,0.0,0.0,1.0,0.0,0.03333333333333333,,,
L7A,0.014084507042253521,0.23943661971830985,0.7746478873239436,0.028169014084507043,0.014084507042253521,0.028169014084507043,1.0,0.0,0.0,,,
L7C,0.0,0.25,0.8214285714285714,0.0,0.03571428571428571,0.03571428571428571,1.0,0.0,0.0,,,
L7E,0.0,0.20930232558139536,0.8604651162790697,0.0,0.0,0.0,1.0,0.0,0.0,,,
L7G,0.011494252873563218,0.3218390804597701,0.7241379310344828,0.0,0.011494252873563218,0.022988505747126436,1.0,0.0,0.011494252873563218,,,
L7L,0.057971014492753624,0.2753623188405797,0.8985507246376812,0.014492753623188406,0.043478260869565216,0.0,1.0,0.014492753623188406,0.043478260869565216,,,
L7M,0.029411764705882353,0.23529411764705882,0.8676470588235294,0.029411764705882353,0.08823529411764706,0.04411764705882353,1.0,0.0,0.029411764705882353,,,
L7P,0.0,0.4358974358974359,0.8717948717948718,0.0,0.0,0.0,1.0,0.0,0.0,,,
L8B,0.0,0.3333333333333333,0.7948717948717948,0.0,0.02564102564102564,0.02564102564102564,1.0,0.0,0.0,,,
L8E,0.017857142857142856,0.26785714285714285,0.7142857142857143,0.0,0.0,0.03571428571428571,1.0,0.0,0.017857142857142856,,,
L8G,0.0,0.15384615384615385,0.5769230769230769,0.0,0.0,0.0,1.0,0.0,0.0,,,
L8H,0.0,0.42105263157894735,0.7894736842105263,0.0,0.0,0.05263157894736842,1.0,0.0,0.0,,,
L8J,0.0,0.5,0.78125,0.03125,0.03125,0.0,1.0,0.0,0.0,,,
L8K,0.0,0.12121212121212122,0.7878787878787878,0.0,0.06060606060606061,0.0,1.0,0.0,0.0,,,
L8L,0.0,0.3333333333333333,0.75,0.0,0.0,0.0,1.0,0.0,0.0,,,
L8P,0.0,0.32,0.84,0.04,0.0,0.0,1.0,0.0,0.0,,,
